"1","Despacito","Luis Fonsi","despacito.mp3","1","one","7EE8FA"
"2","Shape of You","Ed Sheeran","shapeOfYou.mp3","0","two","FFF07C"
"3","Girls Like you","Maroon 5","girlslikeyou.mp3","1","three","EF767A"
"4","Something Just Like This","Coldplay","somethingjustlike.mp3","1","four","8FF7A7"
"5","Perfect","Ed Sheeran","perfect.mp3","0","one","7EE8FA"
"6","Look What You Made Me Do","Taylor Swift","lookWhatYou.mp3","0","two","FFF07C"
"7","Love Is All You Need","Beatles","loveisallyouneed.mp3","0","three","EF767A"
"8","I Got You Babe","Sonny and Cher","igotyou.mp3","0","four","8FF7A7"
"9","Heart of Glass","Blondie","heartOfGlass.mp3","0","one ","7EE8FA"
"10","La Macarena","Los Del Rio","macarena.mp3","1","two","FFF07C"
"11","Hey Ya","OutKast","heyYa.mp3","0","three","EF767A"
"12","Shake It Off","Taylor Swift","shake.mp3","0","four","8FF7A7"
"13","Counting Every Blessing","Rend Collective","CountingEveryBlessing.mp3","1","one","7EE8FA"
"14","8:28","Lecrae","8_28.mp3","0","one","7EE8FA"
"15","Follow Me","Shonlock","FOLLOW-ME.mp3","0","one","7EE8FA"
"16","Mac Daddy","Toby Mac","macDaddy.mp3","0","two","FFF07C"
"17","Parallel Line","Keith Urban","Parallel-line.mp3","0","three","EF767A"
"18","Cherry Blossom","Horror Show","cherryblossom.mp3","1","four","8FF7A7"
"19","Chain Breaker","Zach Williams","chainbreaker.mp3","0","three","EF767A"
"20","Great Divide","Humming House","humminghouse.mp3","0","four","8FF7A7"
"21","See You Again ft. Charlie Puth","Wiz Khalifa","seeYouAgain.mp3","1","four","8FF7A7"
"22","Texas Time","Keith Urban","texastime.mp3","0","three","EF767A"
"23","Thinking Out Loud","Ed Sheeran","thinking.mp3","0","two","FFF07C"
"24","Waterfalls","TLC","waterfalls.mp3","0","two","FFF07C"
"35","The Best","Tina Turner","turner.mp3","1","e","7EE8FA"
"36","What do I Wanna Know","The Arctic Monkeys","arcticMonkeys.mp3","0","two","FFF07C"
"37","Walk the Line","Johnny Cash","cash.mp3","0","three","EF767A"
"38","Clair de Lune","Debussy","debussy.mp3","0","four","8FF7A7"
"39","These Words","Natasaha Bedingfield","bedingfield.mp3","0","three","EF767A"
